"ID";"KenmerkenBaanWerknemer";"Perioden";"BeloningsverschilTussenManEnVrouw_1"
"125";"10700";"2013JJ00";"    99.3"
"126";"10700";"2014JJ00";"    99.3"
"127";"10700";"2015JJ00";"    98.9"
"128";"10710";"2008JJ00";"    97.7"
"129";"10710";"2009JJ00";"    98.4"
"130";"10710";"2010JJ00";"    99.9"
"131";"10710";"2011JJ00";"   100.1"
"132";"10710";"2012JJ00";"   100.7"
"133";"10710";"2013JJ00";"   101.5"
"134";"10710";"2014JJ00";"   101.9"
"135";"10710";"2015JJ00";"   101.8"
"136";"10720";"2008JJ00";"    93.0"
"137";"10720";"2009JJ00";"    93.9"
"138";"10720";"2010JJ00";"    95.5"
"139";"10720";"2011JJ00";"    95.9"
"140";"10720";"2012JJ00";"    96.9"
"141";"10720";"2013JJ00";"    98.3"
"142";"10720";"2014JJ00";"    98.8"
"143";"10720";"2015JJ00";"    99.1"
"144";"10730";"2008JJ00";"    86.0"
"145";"10730";"2009JJ00";"    86.8"
"146";"10730";"2010JJ00";"    88.3"
"147";"10730";"2011JJ00";"    89.0"
"148";"10730";"2012JJ00";"    90.5"
"149";"10730";"2013JJ00";"    92.3"
"150";"10730";"2014JJ00";"    93.4"
"151";"10730";"2015JJ00";"    94.1"
"152";"10740";"2008JJ00";"    79.2"
"153";"10740";"2009JJ00";"    80.0"
"154";"10740";"2010JJ00";"    81.4"
"155";"10740";"2011JJ00";"    81.6"
"156";"10740";"2012JJ00";"    83.1"
"157";"10740";"2013JJ00";"    84.9"
"158";"10740";"2014JJ00";"    85.8"
"159";"10740";"2015JJ00";"    86.5"
"160";"10750";"2008JJ00";"    75.5"
"161";"10750";"2009JJ00";"    75.9"
"162";"10750";"2010JJ00";"    77.1"
"163";"10750";"2011JJ00";"    77.1"
"164";"10750";"2012JJ00";"    78.1"
"165";"10750";"2013JJ00";"    79.4"
"166";"10750";"2014JJ00";"    80.1"
"167";"10750";"2015JJ00";"    80.5"
