"ID";"BedrijfstakkenBranchesSBI2008";"Perioden";"BeloningsverschilTussenManEnVrouw_1"
"124";"391600";"2012JJ00";"    80.9"
"125";"391600";"2013JJ00";"    81.7"
"126";"391600";"2014JJ00";"    81.2"
"127";"391600";"2015JJ00";"    81.1"
"128";"396300";"2008JJ00";"    67.0"
"129";"396300";"2009JJ00";"    67.8"
"130";"396300";"2010JJ00";"    68.7"
"131";"396300";"2011JJ00";"    69.2"
"132";"396300";"2012JJ00";"    70.2"
"133";"396300";"2013JJ00";"    71.2"
"134";"396300";"2014JJ00";"    71.6"
"135";"396300";"2015JJ00";"    71.0"
"136";"402000";"2008JJ00";"    72.3"
"137";"402000";"2009JJ00";"    73.3"
"138";"402000";"2010JJ00";"    76.1"
"139";"402000";"2011JJ00";"    76.6"
"140";"402000";"2012JJ00";"    77.8"
"141";"402000";"2013JJ00";"    78.9"
"142";"402000";"2014JJ00";"    78.9"
"143";"402000";"2015JJ00";"    78.8"
"144";"300010";"2008JJ00";"    75.5"
"145";"300010";"2009JJ00";"    75.4"
"146";"300010";"2010JJ00";"    76.7"
"147";"300010";"2011JJ00";"    76.9"
"148";"300010";"2012JJ00";"    77.3"
"149";"300010";"2013JJ00";"    77.9"
"150";"300010";"2014JJ00";"    78.7"
"151";"300010";"2015JJ00";"    80.2"
"152";"403300";"2008JJ00";"    68.1"
"153";"403300";"2009JJ00";"    69.1"
"154";"403300";"2010JJ00";"    70.0"
"155";"403300";"2011JJ00";"    69.9"
"156";"403300";"2012JJ00";"    71.0"
"157";"403300";"2013JJ00";"    72.0"
"158";"403300";"2014JJ00";"    72.4"
"159";"403300";"2015JJ00";"    73.3"
"160";"410200";"2008JJ00";"    88.1"
"161";"410200";"2009JJ00";"    88.1"
"162";"410200";"2010JJ00";"    88.7"
"163";"410200";"2011JJ00";"    88.7"
"164";"410200";"2012JJ00";"    88.5"
"165";"410200";"2013JJ00";"    88.2"
"166";"410200";"2014JJ00";"    89.3"
"167";"410200";"2015JJ00";"    90.1"
"168";"300013";"2008JJ00";"    79.2"
"169";"300013";"2009JJ00";"    79.2"
"170";"300013";"2010JJ00";"    80.4"
"171";"300013";"2011JJ00";"    81.0"
"172";"300013";"2012JJ00";"    81.7"
"173";"300013";"2013JJ00";"    83.2"
"174";"300013";"2014JJ00";"    84.3"
"175";"300013";"2015JJ00";"    84.0"
"176";"300012";"2008JJ00";"    78.8"
"177";"300012";"2009JJ00";"    78.9"
"178";"300012";"2010JJ00";"    80.2"
"179";"300012";"2011JJ00";"    80.8"
"180";"300012";"2012JJ00";"    81.5"
"181";"300012";"2013JJ00";"    83.2"
"182";"300012";"2014JJ00";"    84.3"
"183";"300012";"2015JJ00";"    83.9"
"184";"417400";"2008JJ00";"    89.1"
"185";"417400";"2009JJ00";"    89.5"
"186";"417400";"2010JJ00";"    90.7"
"187";"417400";"2011JJ00";"    91.8"
"188";"417400";"2012JJ00";"    93.2"
"189";"417400";"2013JJ00";"    95.4"
"190";"417400";"2014JJ00";"    96.7"
"191";"417400";"2015JJ00";"    96.7"
"192";"419000";"2008JJ00";"    83.8"
"193";"419000";"2009JJ00";"    84.1"
"194";"419000";"2010JJ00";"    84.5"
"195";"419000";"2011JJ00";"    86.0"
"196";"419000";"2012JJ00";"    87.0"
"197";"419000";"2013JJ00";"    87.1"
"198";"419000";"2014JJ00";"    87.7"
"199";"419000";"2015JJ00";"    88.2"
"200";"422400";"2008JJ00";"    72.8"
"201";"422400";"2009JJ00";"    72.9"
"202";"422400";"2010JJ00";"    74.0"
"203";"422400";"2011JJ00";"    74.1"
"204";"422400";"2012JJ00";"    74.8"
"205";"422400";"2013JJ00";"    75.8"
"206";"422400";"2014JJ00";"    76.8"
"207";"422400";"2015JJ00";"    75.6"
"208";"300014";"2008JJ00";"    77.7"
"209";"300014";"2009JJ00";"    78.0"
"210";"300014";"2010JJ00";"    77.7"
"211";"300014";"2011JJ00";"    77.4"
"212";"300014";"2012JJ00";"    78.3"
"213";"300014";"2013JJ00";"    78.2"
"214";"300014";"2014JJ00";"    78.2"
"215";"300014";"2015JJ00";"    78.9"
"216";"428100";"2008JJ00";"    77.6"
"217";"428100";"2009JJ00";"    77.6"
"218";"428100";"2010JJ00";"    77.8"
"219";"428100";"2011JJ00";"    77.3"
"220";"428100";"2012JJ00";"    79.0"
"221";"428100";"2013JJ00";"    79.3"
"222";"428100";"2014JJ00";"    79.5"
"223";"428100";"2015JJ00";"    80.1"
"224";"435500";"2008JJ00";"    78.2"
"225";"435500";"2009JJ00";"    78.5"
"226";"435500";"2010JJ00";"    77.5"
"227";"435500";"2011JJ00";"    77.1"
"228";"435500";"2012JJ00";"    77.3"
"229";"435500";"2013JJ00";"    76.8"
"230";"435500";"2014JJ00";"    76.5"
"231";"435500";"2015JJ00";"    77.0"
